record_type,source,tender_ref,title,contractor_name,contractor_brn,contract_value,currency,status,award_date,publication_date,closing_date,url
award,gld,AF900492024,,"Terra Nova (Asia) Co., Limited",,,HKD,awarded,2025-07-30,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AF900492024,,Hong Kong Telecommunications (HKT) Limited,,12800000.0,HKD,awarded,2025-07-30,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900992024,,Wahtat.com Limited,,,HKD,awarded,2025-08-01,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900992024,,Efficient Services Limited,,,HKD,awarded,2025-08-01,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600892024,,Dainichiseika (HK) Ltd,,,HKD,awarded,2025-08-04,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A2900462024,,Innovation Systems Group Limited,,,HKD,awarded,2025-08-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AF300452024,,HKBN JOS Limited,,,HKD,awarded,2025-08-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A4101032024,,DCH Auriga (Hong Kong) Limited - Healthcare Division,,8041500.0,HKD,awarded,2025-08-13,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A4101032024,,Zuellig Pharma Limited,,45047700.0,HKD,awarded,2025-08-13,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0100512024,,Maxwin & Honwell Limited,,,HKD,awarded,2025-08-13,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A2500442024,,Scania (Hong Kong) Limited,,,HKD,awarded,2025-08-13,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AF900982023,,Siemens Healthcare Limited,,34783100.0,HKD,awarded,2025-08-15,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AF900212024,,Siemens Healthcare Limited,,15382200.0,HKD,awarded,2025-08-15,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900802024-1,,AS Watson Group (HK) Limited,,,HKD,awarded,2025-08-16,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,RFN806,,Wah Seng General Contractors Limited,,10498000.0,HKD,awarded,2025-08-18,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCP972,,Cheung Hing - Maylon Joint Venture,,1018322800.0,HKD,awarded,2025-08-18,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,AE400592023,,HK First Union Electronics Technology Limited,,,HKD,awarded,2025-09-02,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600042025,,Sun Hing Paper Company Limited,,,HKD,awarded,2025-09-02,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,RFM804,,Pacific Extend Limited,,5501790.0,HKD,awarded,2025-09-12,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCP929,,Shui On Building Contractors Limited,,215009956.4,HKD,awarded,2025-09-18,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCP928,,CWB - KS JV,,278000000.0,HKD,awarded,2025-09-18,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A8900532024,,Automated Systems (H.K.) Limited,,10449568.0,HKD,awarded,2025-09-26,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AE300852024,,HKBN JOS Limited,,,HKD,awarded,2025-09-26,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A9900062025,,Artec Chemical Company Limited,,,HKD,awarded,2025-10-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A3700482024,,Cyber Smart Limited,,,HKD,awarded,2025-10-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600932024,,"Leung Kow Kee Transportation Co., Ltd.",,30801075.0,HKD,awarded,2025-10-17,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A7600712024,,Bai He Long Limited,,,HKD,awarded,2025-10-24,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A1300802023,,CAE-NRIET Consortium,,394247731.0,HKD,awarded,2025-10-27,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,SSN515,,W.Hing-CCECC-SFK Joint Venture,,365645000.0,HKD,awarded,2025-10-31,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,A3700612024,,Automated Systems (H.K.) Limited,,4696634.0,HKD,awarded,2025-11-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A3700612024,,Nexify Limited,,1993563.0,HKD,awarded,2025-11-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A3700612024,,Hong Kong Telecommunications (HKT) Limited,,12251000.0,HKD,awarded,2025-11-06,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,NSC to REN521,,Chevalier (HK) Limited,,26280000.0,HKD,awarded,2025-11-10,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,RFL810,,Wah Seng General Contractors Limited,,9480000.0,HKD,awarded,2025-11-10,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,NSC to REN521,,TK Elevator Hong Kong Limited,,7250000.0,HKD,awarded,2025-11-18,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,hyd,HY/2025/10,,Bachy Soletanche Group Limited,,29527000.0,HKD,awarded,2025-11-18,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,gld,A3400422024,,Faithful Marine Co. Limited,,,HKD,awarded,2025-11-19,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A8700872024,,KFH Applied Materials Limited,,,HKD,awarded,2025-11-26,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AF300542024,,A & P Instrument Company Limited,,7400000.0,HKD,awarded,2025-12-02,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A8701012024,,Kwong Fat Hong (HK) Limited,,,HKD,awarded,2025-12-17,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A3400392024,,Rolls-Royce Solutions Hong Kong Ltd.,,,HKD,awarded,2025-12-18,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600102025,,Tai Tak Paper Company Limited,,,HKD,awarded,2025-12-22,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,hyd,HY/2025/07,,CLPe Solutions Limited,,14017000.0,HKD,awarded,2025-12-23,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,gld,A1500582024,,Microware Limited,,22239120.0,HKD,awarded,2025-12-24,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,archsd,RFN802,,"Lidell Construction Company, Limited",,11757800.0,HKD,awarded,2025-12-29,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,gld,AF300132025,,A & P Instrument Company Limited,,8100000.0,HKD,awarded,2025-12-29,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600152025,,Zhilian Zhili New Energy Auto Service (Hong Kong) Limited,,,HKD,awarded,2025-12-29,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,A0600142025,,Yan Tin Motors Limited,,,HKD,awarded,2025-12-29,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,gld,AD200692024,,Nuctech Operation Company Limited,,,HKD,awarded,2025-12-30,,,https://www.gld.gov.hk/datagovhk/procurement/ContractsAwarded_EN.csv
award,hyd,HY/2025/05,,Hang Kee Development Company Limited,,27160000.0,HKD,awarded,2025-12-30,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
tender,ha,-,Tender Schedule of Building (New Works) Design and Build contracts (April to September 2026),,,,HKD,open,,2026-01-16,2026-09-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_16_Jan_2026_02.pdf')
tender,ha,-,Six-month Schedule of Building (New Works) Contracts (March to August 2026),,,,HKD,open,,2026-01-30,2026-08-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_30_Jan_2026_02.pdf')
tender,ha,-,Six-month Schedule of Engineering Works Contracts (March to August 2026),,,,HKD,open,,2026-02-13,2026-08-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_13_Feb_2026_02.pdf')
tender,ha,-,Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 March to 31 August 2026),,,,HKD,open,,2026-02-13,2026-08-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_13_Feb_2026_01.pdf')
award,cedd,NL/2023/11,,CCC-CCECC-CR11G Joint Venture,,792000000.0,HKD,awarded,2026-02-16,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,hyd,HY/2024/12,,Fong On Construction Limited,,130130000.0,HKD,awarded,2026-02-20,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,hyd,04/HY/2025,,WCCL - EW Joint Venture,,641473000.0,HKD,awarded,2026-02-25,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,hyd,03/HY/2025,,SY - HC Joint Venture,,780848000.0,HKD,awarded,2026-02-26,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,cedd,ND/2025/01,,CRBC - MAYLON Joint Venture,,2266910000.0,HKD,awarded,2026-02-27,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,hyd,11/HY/2025,,Kum Shing Construction Company Limited,,290427000.0,HKD,awarded,2026-03-10,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,cedd,GE/2025/12,,CM Geotechnics Limited,,270640000.0,HKD,awarded,2026-03-16,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Six-month Tender Schedule of Cleansing Service Contracts for Estates (April to September 2026),,,,HKD,open,,2026-03-20,2026-09-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_20_Mar_2026_01.pdf')
tender,ha,-,Six-month Tender Schedule of Security Service Contracts for Estates (April to September 2026),,,,HKD,open,,2026-03-20,2026-09-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_20_Mar_2026_02.pdf')
award,cedd,ND/2025/04,,Tysan Foundation Limited,,27500000.0,HKD,awarded,2026-03-25,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,cedd,GE/2025/26,,Fugro Geotechnical Services Limited,,36540000.0,HKD,awarded,2026-03-25,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Tender Schedule of Building (New Works) Design and Build Contracts (July to December 2026),,,,HKD,open,,2026-03-27,2026-12-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_27_Mar_2026_01.pdf')
tender,ha,-,Six-month Tender Schedule of District Term Maintenance Contracts (April to September 2026),,,,HKD,open,,2026-03-27,2026-09-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_27_Mar_2026_05.pdf')
award,cedd,GE/2025/21,,Tysan Foundation Limited,,32030000.0,HKD,awarded,2026-03-30,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,cedd,GE/2025/33,,Castco Testing Centre Limited,,3380000.0,HKD,awarded,2026-03-30,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,hyd,HY/2024/07,,Geotechnics & Concrete Engineering (Hong Kong) Limited,,6781000.0,HKD,awarded,2026-04-02,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,cedd,CEDD/S/T/7/2025,,Keao Limited,,7880000.0,HKD,awarded,2026-04-08,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,cedd,GE/2025/19,,Pan Kee Construction Limited,,193170000.0,HKD,awarded,2026-04-09,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,cedd,GE/2025/27,,Gold Ram Engineering & Development Limited,,,HKD,awarded,2026-04-15,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,hyd,HY/2025/14,,Xsun Engineering Limited,,28349000.0,HKD,awarded,2026-04-29,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,cedd,NL/2025/09,,Richwell Engineering - Wang Kee Civil Joint Venture,,634000000.0,HKD,awarded,2026-04-29,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,cedd,CEDD/S/T/11/2025,,Great Safe Apparatus Limited,,1250000.0,HKD,awarded,2026-05-08,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 June 2026 to 30 November 2026),,,,HKD,open,,2026-05-08,2026-11-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_8_May_2026_02.pdf')
tender,ha,-,Six-month Schedule of Engineering Works Contracts (June to November 2026),,,,HKD,open,,2026-05-08,2026-11-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_8_May_2026_05.pdf')
award,cedd,GE/2025/25,,Bachy Soletanche Group Limited,,33980000.0,HKD,awarded,2026-05-13,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,archsd,TCP720,,Yau Lee Construction Company Limited,,420896000.0,HKD,awarded,2026-05-15,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
tender,ha,-,Six-month Schedule of Building (New Works) Contracts (June to November 2026),,,,HKD,open,,2026-05-15,2026-11-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_15_May_2026_01.pdf')
award,cedd,GE/2026/12,,A-City Workshop Limited,,176970000.0,HKD,awarded,2026-05-27,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,hyd,09/HY/2025,,Carrier Construction Limited,,141630000.0,HKD,awarded,2026-06-02,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,archsd,SSN507,,Penta-Ocean Construction Co Ltd,,925772000.0,HKD,awarded,2026-06-09,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,archsd,TCR973,,Cheung Hing - Hung Wan - Maylon Joint Venture,,568002100.0,HKD,awarded,2026-06-10,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,hyd,HY/2025/06,,Grand View – Excel JV,,133979999.99999999,HKD,awarded,2026-06-10,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,cedd,ND/2025/03,,Gammon - Richwell Engineering Joint Venture,,,HKD,awarded,2026-06-10,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,cedd,YL/2024/03,,Tung Lee Civil Engineering Limited,,301780000.0,HKD,awarded,2026-06-11,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
award,hyd,HY/2025/12,,Mak Hang Kei (Hong Kong) Construction Limited,,19800000.0,HKD,awarded,2026-06-17,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
tender,ha,-,Six-month Schedule of Building Maintenance Contracts (July to December 2026),,,,HKD,open,,2026-06-18,2026-12-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_01.pdf')
tender,ha,-,Six-month Tender Schedule of Security Service Contracts for Estates (July to December 2026),,,,HKD,open,,2026-06-18,2026-12-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_06.pdf')
tender,ha,-,Six-month Tender Schedule of Cleansing Service Contracts for Estates (July to December 2026),,,,HKD,open,,2026-06-18,2026-12-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_18_Jun_2026_05.pdf')
award,archsd,RFP802,,Gold Banner Construction and Development Limited,,9095554.0,HKD,awarded,2026-06-24,,,https://www.archsd.gov.hk/en/tenders-notices/works/contracts-awarded-in-the-past-three-months.html
award,hyd,HY/2025/13,,Gammon Construction – Build King – Tung Lee Joint Venture,,1366490000.0,HKD,awarded,2026-06-26,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,hyd,HY/2024/02,,Wing Hing Construction Company Limited,,129939000.0,HKD,awarded,2026-06-26,,,https://www.hyd.gov.hk/en/tender_notices/contracts/awarded/index.html
award,cedd,GE/2025/29,,Vibro (H.K.) Limited,,,HKD,awarded,2026-06-26,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Schedule of Building (New Works) Design and Build Contracts (October 2026 to March 2027),,,,HKD,open,,2026-06-26,2027-03-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_01.pdf')
tender,ha,-,Six-month Tender Schedule of Property Management Agency Service Contracts for Commercial Properties (July to December 2026),,,,HKD,open,,2026-06-26,2026-12-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_05.pdf')
tender,ha,-,Six-month Schedule of District Term Maintenance Contracts (July to December 2026),,,,HKD,open,,2026-06-26,2026-12-31,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_26_Jun_2026_02.pdf')
award,cedd,ND/2024/11,,Build King â Richwell Engineering Joint Venture,,,HKD,awarded,2026-07-06,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Tender for Cleansing Service Contracts for Estates,,,,HKD,open,,2026-07-10,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_10_Jul_2026_02.pdf')
award,cedd,CEDD/S/T/1/2026,,Great Safe Apparatus Limited,,1988000.0,HKD,awarded,2026-07-14,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Notice of Pre-qualification of Tenderers –Tender for Term Contracts (2027/2030) for the Supply and Installation of Refuse Handling Systems for New Housing Authority Buildings (Packages A and B),,,,HKD,open,,2026-07-17,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_17_Jul_2026_01.pdf')
tender,ha,-,"Notice of Pre-qualification of Tenderers – Term Contracts for Slope Maintenance and Improvement Works (2028–2031) for Regions A, B, C and D",,,,HKD,open,,2026-07-24,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_24_Jul_2026_03.pdf')
tender,ha,-,Notice of Pre-qualification of Tenderers – Civil Engineering Improvement Works at Ap Lei Chau Estate and Lung Tin Estate,,,,HKD,open,,2026-07-24,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_24_Jul_2026_02.pdf')
award,cedd,CV/2025/02,,CCS Joint Venture,,1395150000.0,HKD,awarded,2026-07-29,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Tender Schedule of Building (New Works) Design and Build contract (September 2026),,,,HKD,open,,2026-07-31,2026-09-30,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_01.pdf')
tender,ha,-,Tender for the Supply of Office Application Suite Software for the Hong Kong Housing Authority,,,,HKD,open,,2026-07-31,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_02.pdf')
tender,ha,HAQ20260226,Tender for the Provision of Disaster Recovery Services for Information Technology Systems for the Hong Kong Housing Authority,,,,HKD,open,,2026-07-31,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_04.pdf')
tender,ha,HAQ20260235,Tender for Provision of Counselling Services on Stress Management,,,,HKD,open,,2026-07-31,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_31_Jul_2026_06.pdf')
award,cedd,NL/2026/08,,Sang Hing â Tapbo Joint Venture,,689000000.0,HKD,awarded,2026-08-07,,,https://www.cedd.gov.hk/eng/tender-notices/contracts/contracts-awarded/index.html
tender,ha,-,Six-month Schedule of Building (New Works) Contracts (September 2026 to February 2027),,,,HKD,open,,2026-08-07,2027-02-28,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_7_Aug_2026_01.pdf')
tender,ha,-,Six-month Schedule of Contract(s) of Building Services Works for Estate Management Division (1 September 2026 to 28 February 2027),,,,HKD,open,,2026-08-07,2027-02-28,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_7_Aug_2026_02.pdf')
tender,ha,-,Six-month Schedule of Engineering Works Contracts (September 2026 to February 2027),,,,HKD,open,,2026-08-14,2027-02-28,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_14_Aug_2026_01.pdf')
tender,ha,-,Tender for the Design and Delivery of Housing Department Advanced Leadership Training Programme (ALTP) – 3-Day Core Modules for the Hong Kong Housing Authority,,,,HKD,open,,2026-08-14,,javascript:popup800600Scroll('/en/common/pdf/business-partnerships/tenders/BP_Tender_Notice_14_Aug_2026_02.pdf')
